relative_path,board,tier,run_at,optimizer_cpu_seconds,optimizer_passes,score_before,score_after,delta,dL_before,dV_before,dB_before,dL_after,dV_after,dB_after,D,incomplete_after,drc_after,Lmin,Vmin,Bmin
PCBench/ESP-Breakout_ESP-Breakout/unrouted.dsn,ESP-Breakout_ESP-Breakout,A,2026-09-09T06:22:24.246538+00:00,21.97,1,632.02,660.52,28.5,223.25,65.79,78.95,207.9,52.63,78.95,152.0,0.0,0.0,286.77,13,43
PCBench/SMDBreakouts_smd_breakout/unrouted.dsn,SMDBreakouts_smd_breakout,A,2026-09-09T06:31:08.078068+00:00,30.11,1,662.29,660.68,-1.61,112.71,150.0,75.0,139.32,125.0,75.0,160.0,0.0,0.0,217.55,0,54
PCBench/SMDBreakouts_smd_breakout_quad/unrouted.dsn,SMDBreakouts_smd_breakout_quad,A,2026-09-09T06:31:54.391630+00:00,23.66,1,662.29,660.68,-1.61,112.71,150.0,75.0,139.32,125.0,75.0,160.0,0.0,0.0,217.55,0,54
PCBench/freeUSBi_USBi_Programmer/unrouted.dsn,freeUSBi_USBi_Programmer,A,2026-09-09T06:23:24.764662+00:00,15.23,2,650.57,667.61,17.05,0.0,34.09,315.34,0.0,22.73,309.66,176.0,0.0,0.0,571.1,0,37
PCBench/1-Wire-Wing-pcb_1-Wire_Wing/unrouted.dsn,1-Wire-Wing-pcb_1-Wire_Wing,B,2026-09-09T06:40:37.215985+00:00,63.23,2,608.9,671.96,63.06,17.54,206.9,166.67,32.07,137.93,158.05,174.0,0.0,0.0,465.92,0,42
PCBench/hm-mod-rpi-rtc_hm-mod-rpi-rtc/unrouted.dsn,hm-mod-rpi-rtc_hm-mod-rpi-rtc,A,2026-09-09T06:25:01.879627+00:00,31.34,2,672.5,672.5,0.0,99.88,74.63,152.99,99.88,74.63,152.99,134.0,0.0,0.0,316.67,1,32
PCBench/Practicas-Curso-Kicad_Ejercicio2/unrouted.dsn,Practicas-Curso-Kicad_Ejercicio2,A,2026-09-09T06:29:30.225681+00:00,13.48,1,647.15,672.79,25.64,41.68,138.3,172.87,37.32,117.02,172.87,188.0,0.0,0.0,635.03,0,34
PCBench/breakout-boards_50-to-100/unrouted.dsn,breakout-boards_50-to-100,A,2026-09-09T06:20:35.533653+00:00,0.75,1,662.5,675.0,12.5,0.0,200.0,137.5,0.0,200.0,125.0,40.0,0.0,0.0,116.04,0,10
PCBench/ADC-DAC-16bit_ADC-DAC-16bit/unrouted.dsn,ADC-DAC-16bit_ADC-DAC-16bit,A,2026-09-09T06:20:14.030612+00:00,20.63,1,653.76,678.77,25.01,64.33,106.38,175.53,76.55,85.11,159.57,94.0,0.0,0.0,207.84,1,32
PCBench/gpsclock_clock/unrouted.dsn,gpsclock_clock,A,2026-09-09T06:23:53.955268+00:00,6.2,1,677.63,680.92,3.29,0.0,118.42,203.95,0.0,118.42,200.66,152.0,0.0,0.0,1427.5,0,34
PCBench/hardware-designs_energy-harvester/unrouted.dsn,hardware-designs_energy-harvester,A,2026-09-09T06:23:50.814500+00:00,7.78,1,626.09,681.51,55.42,67.31,169.81,136.79,54.34,132.08,132.08,106.0,0.0,0.0,252.86,0,26
PCBench/KosselHotendBoard_KosselHotendPCB/unrouted.dsn,KosselHotendBoard_KosselHotendPCB,A,2026-09-09T06:26:57.169121+00:00,0.95,1,657.41,685.19,27.78,0.0,0.0,342.59,0.0,0.0,314.81,54.0,0.0,0.0,239.29,0,12
PCBench/avr_ledprojector_avr_ledprojection/unrouted.dsn,avr_ledprojector_avr_ledprojection,B,2026-09-09T06:03:25.226945+00:00,31.72,1,687.3,687.3,0.0,59.27,181.51,71.92,59.27,181.51,71.92,584.0,2.0,0.0,1077.7,0,106
PCBench/Inkjet_InkjetBreakout/unrouted.dsn,Inkjet_InkjetBreakout,A,2026-09-09T06:24:33.195221+00:00,4.69,2,687.39,687.39,0.0,7.06,111.11,194.44,7.06,111.11,194.44,54.0,0.0,0.0,250.88,0,13
PCBench/AnalogThermometer_AnalogThermometer/unrouted.dsn,AnalogThermometer_AnalogThermometer,A,2026-09-09T06:19:26.365973+00:00,5.73,1,690.85,690.0,-0.85,139.15,40.0,130.0,160.0,20.0,130.0,100.0,0.0,0.0,183.19,0,29
PCBench/kicad-workshop_fancyboard/unrouted.dsn,kicad-workshop_fancyboard,A,2026-09-09T06:26:05.154877+00:00,40.88,1,686.46,696.36,9.9,58.59,138.61,116.34,58.59,128.71,116.34,202.0,0.0,0.0,501.94,0,44
PCBench/teensy-touch_teensy-touch/unrouted.dsn,teensy-touch_teensy-touch,A,2026-09-09T06:32:02.470556+00:00,10.0,2,697.12,697.12,0.0,0.0,96.15,206.73,0.0,96.15,206.73,104.0,0.0,0.0,582.55,0,18
PCBench/rufs_dra818v_breakout_board/unrouted.dsn,rufs_dra818v_breakout_board,A,2026-09-09T06:30:20.000538+00:00,6.05,2,614.29,700.0,85.71,0.0,142.86,242.86,0.0,114.29,185.71,70.0,0.0,0.0,300.47,0,14
PCBench/Atreus_54percent_rev/unrouted.dsn,Atreus_54percent_rev,C,2026-09-09T06:07:46.527901+00:00,80.58,1,700.29,700.29,0.0,0.0,70.93,228.78,0.0,70.93,228.78,1720.0,1.0,0.0,7821.39,0,470
PCBench/mechkeys_lfk78-jtag/unrouted.dsn,mechkeys_lfk78-jtag,A,2026-09-09T06:27:09.189533+00:00,0.45,1,701.78,701.78,0.0,73.22,0.0,225.0,73.22,0.0,225.0,40.0,0.0,0.0,110.49,0,8
