relative_path,native_score,v2_router_after,v2_optimizer_after,v2_optimizer_before,unrouted,drc,min_trace_length_mm,min_via_count,min_bend_count,difficulty_d
PCBench/kitspace_filaSens/unrouted.dsn,999.99,1000.0,999.31,999.4,0.0,0.0,389.87,0,29,102.0
PCBench/kitspace_Potentiometer_mount_8LED/unrouted.dsn,999.97,1000.0,999.95,999.88,0.0,0.0,394.56,0,8,80.0
PCBench/freeUSBi_USBi_Programmer/unrouted.dsn,999.98,1000.0,999.44,999.39,0.0,0.0,571.1,0,37,176.0
PCBench/MAVRIC_Hardware_SoilBoard/unrouted.dsn,999.99,1000.0,999.39,999.49,0.0,0.0,357.37,0,31,116.0
PCBench/hackaday_esp-14_power_meter__autosave-esp-14/unrouted.dsn,999.99,1000.0,999.95,999.95,0.0,0.0,181.58,0,22,88.0
PCBench/SmartLaserCO2-PCB_WaterCool/unrouted.dsn,999.99,1000.0,999.92,999.49,0.0,0.0,103.4,0,4,24.0
PCBench/kitspace_Potentiometer_mount_4LED/unrouted.dsn,999.98,1000.0,999.83,999.77,0.0,0.0,234.76,0,8,40.0
PCBench/spisolator_spisolator/unrouted.dsn,990.98,968.75,999.19,999.19,1.0,0.0,210.12,0,22,88.0
PCBench/SMDBreakouts_smd_breakout_quad/unrouted.dsn,1000.0,1000.0,999.57,999.58,0.0,0.0,217.55,0,54,160.0
PCBench/keyboard_converter_adapter_ibm4704_converter_adapter_ibm4704/unrouted.dsn,999.99,1000.0,999.81,999.76,0.0,0.0,196.04,0,16,72.0
PCBench/hardware-designs_cc430-debug-board/unrouted.dsn,999.91,998.66,999.18,999.08,0.0,11.0,970.42,0,46,206.0
PCBench/DA_Lamp_attiny44a_servo_i2c/unrouted.dsn,987.64,950.0,999.57,999.57,1.0,0.0,164.16,0,15,72.0
PCBench/esp8266_wi07_3_adapter_esp/unrouted.dsn,981.13,933.33,999.87,999.87,1.0,0.0,114.64,0,14,52.0
PCBench/esp8266-12f-board_esp8266/unrouted.dsn,999.99,1000.0,999.92,999.87,0.0,0.0,293.86,0,40,142.0
PCBench/MSGEQ7-Breakout-Board_MSGEQ7_Breakout_Board/unrouted.dsn,999.99,1000.0,999.81,999.81,0.0,0.0,211.89,0,18,70.0
PCBench/RASPMINI_RASPmini/unrouted.dsn,994.61,981.82,999.3,999.3,1.0,0.0,1216.91,0,33,184.0
PCBench/HES-V2__autosave-hes/unrouted.dsn,999.99,1000.0,999.91,999.91,0.0,0.0,502.02,0,17,140.0
PCBench/dustbox_Dustbox/unrouted.dsn,999.99,1000.0,999.81,999.69,0.0,0.0,284.68,0,10,54.0
PCBench/nodemcu-backstage_NodeMCU Backstage/unrouted.dsn,999.99,1000.0,999.94,999.92,0.0,0.0,382.74,0,15,158.0
PCBench/pi_plant_MCP3002/unrouted.dsn,999.99,1000.0,999.79,999.74,0.0,0.0,234.96,0,13,76.0
PCBench/kicad-projects_BatCharge/unrouted.dsn,999.99,1000.0,999.48,999.6,0.0,0.0,119.04,0,16,66.0
PCBench/LimitSwitchesPlugin_LimitSwitchesPlugin/unrouted.dsn,978.7,972.97,999.57,999.57,1.0,0.0,616.71,0,13,104.0
PCBench/ESP-12-breakout_ESP12E-breakout/unrouted.dsn,978.87,928.57,999.91,999.91,3.0,0.0,320.77,0,40,132.0
PCBench/espeverywhere__autosave-espeverywhere_breakout/unrouted.dsn,999.99,1000.0,999.81,999.81,0.0,0.0,151.94,0,8,36.0
PCBench/RoBoC_CameraAdaptor/unrouted.dsn,990.18,966.67,999.19,999.19,1.0,0.0,772.39,0,25,104.0
PCBench/IGN01A_IGN01A/unrouted.dsn,999.99,1000.0,999.77,999.77,0.0,0.0,657.41,0,47,202.0
PCBench/hardware-designs_m-trigger/unrouted.dsn,999.99,1000.0,1000.0,999.96,0.0,0.0,114.3,0,7,46.0
PCBench/esp12-breakout_ESP12Breakout/unrouted.dsn,988.5,961.54,999.94,999.94,1.0,0.0,211.37,0,23,96.0
PCBench/temp_logger_esp8266_temp_logger/unrouted.dsn,999.99,1000.0,999.84,999.78,0.0,0.0,306.2,0,22,92.0
PCBench/kitspace_grove_adaptor/unrouted.dsn,1000.0,1000.0,1000.0,1000.0,0.0,0.0,18.0,0,3,16.0
PCBench/navelino-leaf_navelino-leaf/unrouted.dsn,980.38,931.03,999.66,999.66,2.0,0.0,313.16,0,28,80.0
PCBench/kitspace_ir_sensor/unrouted.dsn,999.98,1000.0,999.88,999.88,0.0,0.0,246.02,0,6,24.0
PCBench/POV_POV/unrouted.dsn,999.99,1000.0,999.7,999.64,0.0,0.0,345.91,0,16,70.0
PCBench/SmartLaserCO2-PCB_LaserPointer/unrouted.dsn,999.99,1000.0,1000.0,1000.0,0.0,0.0,54.96,0,2,14.0
PCBench/eBUS-Adapter_Groeger/unrouted.dsn,999.99,1000.0,999.78,999.8,0.0,0.0,282.45,0,22,86.0
PCBench/sv650sds_sds_tool/unrouted.dsn,989.99,974.36,999.8,999.8,1.0,0.0,314.19,0,26,158.0
PCBench/kicad-workshop_fancyboard/unrouted.dsn,999.99,1000.0,999.77,999.72,0.0,0.0,501.94,0,44,202.0
PCBench/kitspace_12V5A_breakout/unrouted.dsn,999.99,1000.0,999.84,999.78,0.0,0.0,222.96,0,5,50.0
PCBench/filament_extruder_sensor/unrouted.dsn,999.99,1000.0,999.37,999.65,0.0,0.0,352.42,0,14,72.0
PCBench/hardware-designs_spsgrf-board/unrouted.dsn,999.98,1000.0,999.74,999.68,0.0,0.0,190.52,0,10,66.0
PCBench/KosselHotendBoard_KosselHotendPCB/unrouted.dsn,999.98,1000.0,999.43,999.41,0.0,0.0,239.29,0,12,54.0
PCBench/RPi-PWM-Fan-interface_RPi PWM Fan interface/unrouted.dsn,999.99,1000.0,999.81,999.74,0.0,0.0,62.33,0,9,44.0
PCBench/ESP_WiFiSwitch_WifiSwitch/unrouted.dsn,985.5,958.33,999.8,999.8,1.0,0.0,348.49,0,21,82.0
PCBench/PixyWirelessShield_Shield PIXY/unrouted.dsn,999.97,1000.0,999.79,999.79,0.0,0.0,161.39,0,5,52.0
PCBench/kicad-guitar-preamp_Preamp-Instructables/unrouted.dsn,999.99,1000.0,999.91,999.93,0.0,0.0,157.84,0,7,46.0
PCBench/CAL430FR_CAL430F_watch/unrouted.dsn,999.99,1000.0,999.82,999.74,0.0,0.0,384.5,0,22,84.0
