relative_path,native_score,v2_router_after,v2_optimizer_after,v2_optimizer_before,unrouted,drc,min_trace_length_mm,min_via_count,min_bend_count,difficulty_d
PCBench/Practicas-Curso-Kicad_PRY_EJ1/unrouted.dsn,999.99,1000.0,1000.0,1000.0,0.0,0.0,55.8,0,4,26.0
PCBench/Practicas-Curso-Kicad_Ejercicio2/unrouted.dsn,999.99,1000.0,999.56,999.54,0.0,0.0,635.03,0,34,188.0
PCBench/sensorboard_DiffIR.kicad_pcb_narrow/unrouted.dsn,999.99,1000.0,999.51,999.66,0.0,0.0,266.24,0,27,90.0
PCBench/Hardware-done-with-kicad_AVRlearn/unrouted.dsn,999.99,1000.0,999.82,999.75,0.0,0.0,427.58,0,20,114.0
PCBench/Phased-Array-Microphone-using-FPGA_SateliteMicrophone/unrouted.dsn,999.99,1000.0,999.64,999.52,0.0,0.0,211.77,0,30,88.0
PCBench/hardware-designs_energy-harvester/unrouted.dsn,999.91,998.11,999.6,999.62,0.0,8.0,252.86,0,26,106.0
PCBench/starsynctrackers_reset_switch/unrouted.dsn,999.99,1000.0,999.88,999.83,0.0,0.0,77.16,0,12,38.0
PCBench/hardware-designs_c-trigger/unrouted.dsn,999.99,1000.0,1000.0,1000.0,0.0,0.0,93.61,0,7,42.0
PCBench/kicad_bbb-melzi/unrouted.dsn,999.99,1000.0,999.74,999.8,0.0,0.0,416.95,0,17,104.0
PCBench/Raspberry-Pi-Soft-Power-Controller_Switching Supply TPS563208 MCI/unrouted.dsn,999.99,1000.0,999.78,999.66,0.0,0.0,157.7,0,16,48.0
PCBench/kika-in-space_DS8500/unrouted.dsn,999.99,1000.0,999.72,999.82,0.0,0.0,211.8,0,31,118.0
PCBench/SMDBreakouts_smd_breakout/unrouted.dsn,1000.0,1000.0,999.57,999.58,0.0,0.0,217.55,0,54,160.0
PCBench/PCB_constant_current_ac_hv/unrouted.dsn,999.99,1000.0,1000.0,1000.0,0.0,0.0,140.73,0,6,28.0
